posts,label
how to tell if a guy is gay if they seem super straight ,0
Idk I'm not gay,0
This person is 100% fake so beware Isabella! ,1
Oof lmao how is she fake? Who's this lmao shit fuck speak like cunt? And it's Isabel XD,1
If your loved one left n cut all ties w you should u wait bc I still have feelings ? ,0
no he a bitch,1
Oof damn ,0
Help with what?,0
who farts the most in your fam? ,1
"Lmfao wtf nosence u talking, u should know how to behave",1
Is your schlong bigger? ,1
wtf,0
Any cute single girls that live in Houston Texas?  ,0
sorry im from LA,0
(Im only gonna pick the first cute girl that responds and has to be 13-16 years old) Im 14 boutta be 15 ,0
You judgmental hoe,1
"No Offense of any sort is intended in this question. Homosexuals, do you find being with your non preferable sex gross, just like guys find it gross to be with other guys? ",0
I am straight xp,0
One girl actually took a pic and put it on her snap story ,0
damn that sucks!,0
"Yeah so I was the one wearing the thong, lmao ",0
"Why lmaooo, you ass fucking cunt",1
You are so damn beautiful ,0
Aww thank you :)),0
What is your favorite sex position? ,1
I don't have a favorite,0
who loves to be alive? because I sure as hell do ,0
YES GOOD HUMAN,0
"If I were about the size of a pill and you came and swallowed me whole, like food, where would I be and what exactly would happen to me in there? ",0
"You would be in my stomach like food, duh, and then I would shit you out like I do with food. Lol.",0
HOWS YALL DAY SO FAR?!?!? ,0
shit,0
No I'm not a serial killer. I am religious. I believe in our father in heaven. And I believe in Jesus christ himself the one who died on the cross for our sins and saved us all. He is our lord and savior. ,0
"Yhen you should know that God is with you no matter what troubles you go through, and as ling as he's with you, everything is Okay",0
"what the hell is the ""shoutout"" thing for? ",0
To send message to multiple people near you,0
Uninstalling this booty shit ,0
why is ur favorite word booty?,0
What can I ask about then ,0
Anything other than my sex life,0
Why not have sex in his bed or yours? ,1
stop,0
Was sex on a bean bag weird or uncomfortable? ,1
weird and a lil uncomfortable,0
Guessing the sex was really boring then ,1
The second time it wasn't.,0
Damn that was probably wack the first time then lmao ,0
Lmao He was thick tho,1
That guy was probably like omg that was amazing while youre just sitting there like I guess ,0
AHAHAHA,0
Worst lie you have ever told? ,0
I didn't have sex XP,0
"If you could have known one thing that you didn't when you had your first sexual experience, what would it be? ",0
That he had a small dick,1
The fact that you didnt deny says it all!  Beware guys you've been warned! ,0
"If you mean a player like using boys, I would never. If you mean by video games, I don't play a lot of games literally barely play at all lmao",0
You're a game player nd lier. just warning the guys... ,1
"If you mean a player like using boys, I would never. If you mean by video games, I don't play a lot of games literally barely play at all lmao",0
Name 3 thing you thought you'll never do but now you did it ,0
"Date a best friends ex, go back to an ex, and have sex",0
anyone want to go with me to prom ,0
"I mean, sure lmao jk idk u and u most likely don't fo to my school.",0
What is your best feature? ,0
Idk what do you think? I personaly like my hair lmao,0
what word makes u feel the most uncomfortable? ,0
"Hmmmm, probably anal orrrr ihdrk",0
Hmu im single ,0
So am i but im not desperate lmao,0
Hahah first impression xD ,0
"Oh lmao it's fine, I'm not one of those people who are like ""First impressions mean everything"" no, it's who the person is who impresses me, not their first impression. LMAO",0
Whats Green and smells like bacon...... Kermits fingers ,0
"lmao, u son of a bitch",1
Who like Michael Jordan?  Or Who like LeBron James? ,0
I like bofe,0
Yo does anybody want to buy me minecraft for the Switch ,0
"lmao no, im broke, idk u, and i have mc on xbox",0
Do you agree that nobody goes through more shit in life than a person with a good heart? ,0
never heard of that. I like it. :),0
DOUBLE STANDARD Why is a 2 year old boy allowed to be naked at the beach but a man cannot ? ,0
Because a man will try to fuck,0
How big is too big for you for fuck? ,1
Idk i only had sex once,0
"Eyes but i here you have a nice butt to, how about driving from back ",1
Lol thank you,0
what word makes u feel the most uncomfortable? ,0
"Tbh i have no clue, sex ig",0
What is one thing that many people don't know about you? ,0
you are hoe like me,1
"How short is your shortest shorts, I head its small ",1
The bottom of your ass,1
What advice would you give to children today? ,0
Don't fuck up,0
Anal ,0
"idk, never had anal sex",0
Can you recommend anything to read? ,0
Evermore by Alyson Noel if you like immortal shiz,0
Whats the first thing youd do if you were the opposite sex for one day? ,0
I wouldn't go to the bathroom and the first thing i'd do is tell everyone XD,0
Name 3 thing you never thought you would do but did ,0
"Kiss my ex bffs bf, talk shiz about someone im friends with, and the last is a secret",0
If you were to write a book what would it be about? ,0
Relatable shit,0
I remember that u salked a guy named ryan and it was hilarious when you told him about that he was hot and calling the fire department  ,1
lmao when? U studpid fuck,1
What was the first band or musician you were really into? Do you still like it? ,0
"Justin Bieber, and fuck no",1
Any one else experiencing alien type shit rn  ,0
No what is it?,0
Which camera is better to shoot a video on? ,0
"outside camera because what if you wanna show something on the outside, you'll have to flip your wrist and it wont show half the shit you want... lol",0
Bijouterie or jewelry? ,0
wtf is that?,0
Wow damn cute!  Sc/Kik? ,0
Idk you,0
Do you have line ? What's your id ,0
wtf I'm not telling you! And IDK SO LEAVE ME ALONE,0
"What would be your action plan, if there were no more electricity in the world? ",0
I wish you die,1
"I think I commented on the wrong person, sorry about that, lmao awkward ",0
Lol,0
i think george likes you ,0
no je doesnt HE HAS A FUCK**G GIRLFRIEND!! Everyone stop talking shit about them bc they never did anything to you so they dont deserve this! just leave them alone!,0
Pap of you id card for school ,0
Hahaahaa wtf look at the arrow PHOTOBOMBED,0
Isabel u have sex with someone? ,1
