posts,label
 I like too many songs to have a favorite,0
 </3 ? haha jk! <33,0
 Really?!?! Thanks?! haha,0
 ;(,0
 *RAWR*?,0
 Sure! Like tell me wht u wnna know?! Like wht do you use?!,0
 EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333,0
 Night 4shuree!!,0
 alreadi answrd,0
 Yes veryy trustin person!!! May i help yuh:!,0
 Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk,0
 Listener definitely chuz i get cut off alot so i just listen or ignore pplz!,0
 Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!,0
 :),0
 Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha,0
 lmaoo!!!!,0
 Hahah(: Thanks!,0
 Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate SMILE 2 yuh! Its playing!!,0
 Dogs! Im allergic 2 cats=,0
 Chocolate! Bahah!,0
 Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!,0
 Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!,0
 Yes of course i do... Its called Eternity with God in heaven!<3,0
 Yes  bhut I think luck is blessing from God actually! in my opinioN!,0
 If God created them then hellz yes!,0
 Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha,0
 Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!,0
 I have 2 actually! Justin Bieber (ofcourse) ;; Scipio Mondai!,0
 Actually i do!!! Just my whole experience with this fake a$$ friend!!</3,0
 Yuppers! Nose and Cartilage piercings(;,0
 Hahaha. Strange!:S,0
 yes i love ATL!! great place 2 live  wish i lived there! ;D,0
 Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!,0
 Fuck yes i think i am! haha,0
 Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .,0
 Hell yes! Lots of them and thats including yuh!<3,0
 :D thank you gurl/boy ? I really appreciate it!<33,0
 ATM Rue 21;D Or Forever21 <3,0
 Meowl?;D If thts a word haha<3,0
 Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?,0
 Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!,0
 lmfao! haha! Nahh its my badd;),0
 Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha,0
 Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk,0
 OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!,0
 Mary?! lol hahahaha,0
 Mwahaha!!! Sweet thang! i love it!!,0
 Uhhhhh!!!! OMG! Taquisha? LOL!,0
 Hahaha.. Yup!(: Its my job,0
 Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!,0
 Haha nahh ive just fractured some thumbs bhut itz all good lol,0
 Hahah OHKAY?!,0
 Yup yup!!:P,0
 haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah,0
 Nicee!,0
 Hey  hows yah momma?!,0
 ahahaha!!!(: It wuzz funn!(: lmao<3,0
 Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa,0
 Awwhhh!!!Thank yuh Jacob ur really nice!!! Might be my new bestie <33 Thank YUH SO MUCH!,0
 Heyy Marribbbiii!! lmao! iloveyuhhh muchooo moeee!!!;) are yuh goin tmrw?!,0
 Im doing good thankyuh!!!Heyyy hbu?!,0
 Heyy ghurrr!!! Wuzz upp!! haha nuttin much just busyy!! hbu ma?,0
 Heyy :D,0
 Umm.. i think 2 bhut english is my first! im learnin french! ;d hbu?!,0
 Hmmm...personal? root word.. lol umm probss... bubbly  nice  honest(sumtyms),0
 Myself Bubbly Funny?,0
 iLoveYou! Thanks alot! Bhut its alot 2 keep up wit! Wanna trade haha!,0
 NO no no! I Love youuu moreee<333 ;D haha!!,0
 iFUCKINLoveyou!!!<33 xox ha!,0
 OMG! really?! cool thats so awesome! yeah i wanna learn more languages bhut french is already enuff 2 deal wit! ha,0
 Oh thats wht i think too! dnt be sorry hahaha! Silly goose,0
 Hahah!! ohhkayy?!?! lol Wht do you call a deer with no eyes? I have no ideer! haha Classic  umm i suck at this haha,0
 IDKKK!!!GOD?! Not understndin this ? srry its like 3am hah,0
 Oh snap!! I would actually hug him first off ahah and say Nigga where my weed go? Hahaha jkjkjk i love him!! He is doin a great job!,0
 Are you a lonely boy?,0
 Basketball<3,0
 JUSTIN BIEBER's Bday parrtayy! haha,0
 Keeping up with the Kardashians! or Kendra! My FAV shows atm!:D,0
 Errmm...Harry potter? lol,0
 Thats a hard 1 . . . *thinkin* Maybe Bustin Jieber? I think! haha,0
 Justin Bieber or Channing Tatum! haha yumm!,0
 Michael Jacko and Subway! Doh!,0
 Put my towels back on the fckn rack! lol im 2 lazy 2 do it bhut it looks trashy when i keep it on tha floor.,0
 Life is never going to be easy.,0
 Justin Bieber.Duh. ;; Russia! ;],0
 I would so travel thee world  Visit my overseas besties then shop everywhere!<3,0
 Strawberry-Banana Smoothies from Jack in the Box ;D Yah dig?,0
 ALL thee twilight books chuz she got some good mula baby!,0
 My Orthodontist docotr hahahaha!!! Jkjk or am i lmao!,0
 To never sin bhut will NEVER happen! See im already sinning  Never say never!,0
 Up-Justin Bieber,0
 MMMag i love it!,0
 HOE-ISHNESS! lol um prob. stupid bitches and SIN! i just sinned!Opppzz,0
 MySelf!(:,0
 Umm... we would go to jack-in-the-box! haha,0
 Chocolate;,0
 Read between these three fingas! haha,0
 Justin Bieber Demi lovato and Barack Obama babay!!:D,0
 Apple store!(; Need a MAC pro!,0
 Great question! Tithe Help people Shop!,0
 Laptop Dogs Family Shoes bed clothes coffee maker oven washer;dryer refridgerator table;chairs pics camera bath tub! HAHAhAHAHAHHAHA!!!!,0
 Awhh i love ur earrings!,0
 ilovee maryyy rosseeee hickkksss!!!! LOL!,0
 ily2 boo!,0
 Awhh! Yuh so lucky ghurr!!!I bet yuh had a BLAST! ; nahh ive never been bhut i would soo want to go!;D,0
 YESSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS!!!!4 theee lasttt timeee!!! Ask him http://www.formspring.me/TRUACE,0
 HAHAHAHA TEACHIN HIM how to ur his stickshift Mwhahahahahaha! i llalala love you best frann!,0
 Uhhh!!! lmao!! U got me lmao! jkjk we can go on 4 like eva! Lezzzdoooittt I Love you more than yo own momma! AHHA!!,0
 Love you More babe<3,0
 YOOOOOOOOOOOOOO!!!!!!!! Its Late; haha i have church tmrw bhut soon kay? srry:[,0
 Miley's a HOOCHIE! BIEBER ALL THEE WAY GHURL!!or boy!<33,0
 Chrisssy!!??? hahahahah Chantelle  Alesha Kailee? Tori?? LMFAO iddkkkkk,0
 OMFG!!! nooo wayyyy!!! Ughhh BROOOKKKEEEEE OMFG!!! im soo srry lmao lots of pplz r frmh ZEW ZEALAND! lmao I fukkinnn luvv yuhhhh hahaha!,0
 Hahah Helllz yess! I will mamas!!<3 love u!,0
 OMG!! ahhhh!! Where he go? Damn it he just fell off my window sil! haha jk!,0
 I Love Justin Bieber! He's a 1000000000+ on a 1-10 scale HA!,0
 Shut up your prettier! <33,0
 Sandals 4suree ;D i wear them in thee winter 2! No lie! haha,0
 Hhahahahaah ohh noo problem mamas! ahah me2 im soo exhaustedd *yawn* *ywan* LMAO!,0
 :) Aww!! Yeahh she is my best friend * raphaela * Haha. She is german so i guess thts why! lmao <3,0
 Ikrr that wud be awesome!!! I wish ;D,0
 Texas!!;Yuh hun?! xox,0
 Ohhkayy! First offf i was playin  i mean he is a really nice person dnt kno him like all that! Bhut u should ask him!,0
 Huh!? That doesnt make sense  Guns something! lmao Come again!? lol,0
 Ummm SUMMER bein almost here! Who isnt? haha,0
 Shh....Dnt tell any1 k? haha! NOTHING! MWAH!,0
 Ahhh! I love em both but I would go for Justin Bieber!!! Well because i'm older. But I perfer them BOTH!,0
 Its da shit! Fun stuff,0
 My eyes! They are light brown and beautidul in the sun!(; Thanks God! oh and my hands! and ass lol jkjK!,0
 Thee comp? or cellfonne! hehe,0
 Guess! haha no its the brand name.,0
 I cannot listen to that Heavy metal! I like me some rock(oldies) bhut not that scary shit ;D,0
 Everything really! AHhaha Lovin my HipHop atm! Ester Dean is thee shyyttt!,0
 Urgh . . this is difficult to answer haha! Umm prob. fixing computers! ha yes i said it im like a WIZ at fixin comps that MYSELF and MOM destroy! AHAHA!,0
 The Hills! Chuz Lauren was thee whole point it was clld thee Hills and there is 2much drama! Bhut I still wtch it chuz i love 2 laugh at thee dumb shit! Spencer is a prick btw!;0,0
 Jonas Brothers Concert 8/13/09 ;D I still love em bhut Justin bieber is thee shit!,0
 I have many! 2many actually bhut i guess when i found my lifetime friends ;D,0
 The Miracle Worker,0
 This person actually told me this fried i had was not a true friend and she wants me 2 still be this person's friend! Thats a NONO!,0
 Never been 2 1 tht was bad.,0
 I can't complain chuz i dnt have or had one! hahaha soon though! real soon! ;,0
 Life(: haha!! umm idk thats hard!,0
 1995 haha when i was bornwas my year! Doh!I didnt have 2 do ANYTHING on my own haha,0
 HA! goin to georgia just to see my dad's mother! Ugh i cnt stand her bhut God bless her soul! LONG LIFE STORY! haha,0
 Oh good 1  Twitter (ofcousre) i love me some twitter peeps! They tha shit lol,0
 Idk.. wait WHaaaa? lol,0
 Me;God eatin Chicken wings on His throne <3 ahaha,0
 Brussel srouts! YuCkIE! bhut i love cabbage and they're mini cabbages! LMAO!,0
 My old school shit   i wud SOOO throw it away bhut my mom! Urgh,0
 The important 1 is Love  bhut ive given people themselves! Like i let my friends have themselves instead of me! It helps to see who they are as a person! Very important! Viseversa.,0
 Hahaha! Wait wht kind of drink! LOL well JackInTheBox is like not evn a mile away frmh my house! So there! i guess thts wht ur askin lmao! XP,0
 Hmmm....U makin me hungry first of all! ;; Dairy Queen! YUMM!!,0
 Umm...Diary Queen? or JackINTHEBOX! 4 my smoothies of course not ice cream! Mwah,0
 Virginia,0
 Haha! Maybe 2days? lol idk,0
 Wow. this is a hard 1 i dnt think ive had 1 or i have many! I love my smoothies tho! YUMMIE!,0
 Idk... its a month that 4 sure lol,0
 A piece of grass?,0
 I Havent Gotten 2 that part!! haha,0
 Wow awesome question....I think my best achievement would be Finding who i am thats thee most important!!<33,0
 ummmm...messy rooms;,0
 Something cute and ME!! haha you kno? well a beamer is my dream car basically! or a porshe!,0
 Haha! Staring at my doctor thru sunglasses while he was in my mouth! HAHAHA!!!,0
 My fav song girly!!! is umm.. Up ; Running by @jessicajarrell atm! But i have lots :) hbu!?,0
 Mmm... ROOT BEER! haha my fav drink eva! POW,0
 Actually its cabbage!;D,0
 POP!,0
 Crap this is hard  haha umm People Need Inspiration- The Last Song <33,0
 Pink Roses!(:,0
 Pink ; Neon green(:,0
 ;) Umm.. A walk to remember! or The Last song! Ugh theirs ALOT! haha hbu!,0
 PINK;NEON GREEN!Yeahh buddie,0
 Umm. . . good question i have many bhut i guess 16 and pregnant would be 1 of my fav ones atm. ;D,0
 Hahaha wht are u tlkn bout girl!,0
 Never;;,0
 Actually i was that kid who wanted to be by herself so i guess when i grow up im going to be ME lol! Hard question 2 answer.,0
 U.S.A!!!;] Known as Mars!!<3,0
 Haha...when i turn 60 ish ask me this! lol,0
 Los Angeles! <33,0
 Umm... Dallas Texas! haha Idk im so plain so idk! Mwhaha,0
 Umm.. Long time ago bhut i was like 5 or 6 haha Cory!,0
 Yumm... Justin Bieber P-diddys son JDoir YUMMM....haha not really a celeb bhut yeah! ;; Channing Fckn TATUM!!haha Oh damn!!,0
 Ohh mann this is a GREAT ? Chrissy Michelle Savannah AJ Bianca and lotss more + you!<33,0
 Umm... Barack Obama 4 another 4 years! iLovehim!,0
 Mmmh... My second grade teach Mrs. Caldwell <3,0
 Prob. me or my seester (robbie) hahaha makes me wanna shit myself EVERYTIME she speaks lol,0
 Urgh no1 yet! Keep hopin though!,0
 Michael Jackson! haha wait wrong one  Michael Jordon i meant ahah,0
 idkk... mwauuuhhh!(:,0
 I do not judge gyrls im not bi or a lezzboo!! K thanks',0
 @JustinBSource 4 sure LMAO!,0
