,q_a,label
0,how to tell if a guy is gay if they seem super straight ,0
1,Idk I'm not gay,0
2,This person is 100% fake so beware Isabella! ,1
3,Oof lmao how is she fake? Who's this lmao shit fuck speak like cunt? And it's Isabel XD,1
4,If your loved one left n cut all ties w you should u wait bc I still have feelings ? ,0
5,no he a bitch,1
6,Oof damn ,0
7,Help with what?,0
8,who farts the most in your fam? ,0
9,"Lmfao wtf nosence u talking, u should know how to behave",1
10,Is your schlong bigger? ,1
11,wtf,0
12,Any cute single girls that live in Houston Texas?  ,0
13,sorry im from LA,0
14,(Im only gonna pick the first cute girl that responds and has to be 13-16 years old) Im 14 boutta be 15 ,0
15,You judgmental hoe,1
16,"No Offense of any sort is intended in this question. Homosexuals, do you find being with your non preferable sex gross, just like guys find it gross to be with other guys? ",0
17,I am straight xp,0
18,One girl actually took a pic and put it on her snap story ,0
19,damn that sucks!,0
20,"Yeah so I was the one wearing the thong, lmao ",0
21,"Why lmaooo, you ass fucking cunt",1
22,You are so damn beautiful ,0
23,Aww thank you :)),0
24,What is your favorite sex position? ,1
25,I don't have a favorite,0
26,who loves to be alive? because I sure as hell do ,0
27,YES GOOD HUMAN,0
28,"If I were about the size of a pill and you came and swallowed me whole, like food, where would I be and what exactly would happen to me in there? ",0
29,"You would be in my stomach like food, duh, and then I would shit you out like I do with food. Lol.",0
30,HOWS YALL DAY SO FAR?!?!? ,0
31,shit,0
32,No I'm not a serial killer. I am religious. I believe in our father in heaven. And I believe in Jesus christ himself the one who died on the cross for our sins and saved us all. He is our lord and savior. ,0
33,"Yhen you should know that God is with you no matter what troubles you go through, and as ling as he's with you, everything is Okay",0
34,"what the hell is the ""shoutout"" thing for? ",0
35,To send message to multiple people near you,0
36,Uninstalling this booty shit ,0
37,why is ur favorite word booty?,0
38,What can I ask about then ,0
39,Anything other than my sex life,0
40,Why not have sex in his bed or yours? ,1
41,stop,0
42,Was sex on a bean bag weird or uncomfortable? ,1
43,weird and a lil uncomfortable,0
44,Guessing the sex was really boring then ,0
45,The second time it wasn't.,0
46,Damn that was probably wack the first time then lmao ,0
47,Lmao He was thick tho,1
48,That guy was probably like omg that was amazing while youre just sitting there like I guess ,0
49,AHAHAHA,0
50,Worst lie you have ever told? ,0
51,I didn't have sex XP,0
52,"If you could have known one thing that you didn't when you had your first sexual experience, what would it be? ",0
53,That he had a small dick,1
54,The fact that you didnt deny says it all!  Beware guys you've been warned! ,0
55,"If you mean a player like using boys, I would never. If you mean by video games, I don't play a lot of games literally barely play at all lmao",0
56,You're a game player nd lier. just warning the guys... ,1
57,"If you mean a player like using boys, I would never. If you mean by video games, I don't play a lot of games literally barely play at all lmao",0
58,Name 3 thing you thought you'll never do but now you did it ,0
59,"Date a best friends ex, go back to an ex, and have sex",0
