,q_a,label
0, I like too many songs to have a favorite,0
1, </3 ? haha jk! <33,0
2, Really?!?! Thanks?! haha,0
3, ;(,0
4, *RAWR*?,0
5, Sure! Like tell me wht u wnna know?! Like wht do you use?!,0
6, EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333,0
7, Night 4shuree!!,0
8, alreadi answrd,0
9, Yes veryy trustin person!!! May i help yuh:!,0
10, Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk,0
11, Listener definitely chuz i get cut off alot so i just listen or ignore pplz!,0
12, Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!,0
13, :),0
14, Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha,0
15, lmaoo!!!!,0
16, Hahah(: Thanks!,0
17, Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate SMILE 2 yuh! Its playing!!,0
18, Dogs! Im allergic 2 cats=,0
19, Chocolate! Bahah!,0
20, Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!,0
21, Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!,0
22, Yes of course i do... Its called Eternity with God in heaven!<3,0
23, Yes  bhut I think luck is blessing from God actually! in my opinioN!,0
24, If God created them then hellz yes!,0
25, Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha,0
26, Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!,0
27, I have 2 actually! Justin Bieber (ofcourse) ;; Scipio Mondai!,0
28, Actually i do!!! Just my whole experience with this fake a$$ friend!!</3,0
29, Yuppers! Nose and Cartilage piercings(;,0
30, Hahaha. Strange!:S,0
31, yes i love ATL!! great place 2 live  wish i lived there! ;D,0
32, Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!,0
33, Fuck yes i think i am! haha,0
34, Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .,0
35, Hell yes! Lots of them and thats including yuh!<3,0
36, :D thank you gurl/boy ? I really appreciate it!<33,0
37, ATM Rue 21;D Or Forever21 <3,0
38, Meowl?;D If thts a word haha<3,0
39, Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?,0
40, Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!,0
41, lmfao! haha! Nahh its my badd;),0
42, Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha,0
43, Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk,0
44, OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!,0
45, Mary?! lol hahahaha,0
46, Mwahaha!!! Sweet thang! i love it!!,0
47, Uhhhhh!!!! OMG! Taquisha? LOL!,0
48, Hahaha.. Yup!(: Its my job,0
49, Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!,0
50, Haha nahh ive just fractured some thumbs bhut itz all good lol,0
51, Hahah OHKAY?!,0
52, Yup yup!!:P,0
53, haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah,0
54, Nicee!,0
55, Hey  hows yah momma?!,0
56, ahahaha!!!(: It wuzz funn!(: lmao<3,0
57, Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa,0
58, Awwhhh!!!Thank yuh Jacob ur really nice!!! Might be my new bestie <33 Thank YUH SO MUCH!,0
59, Heyy Marribbbiii!! lmao! iloveyuhhh muchooo moeee!!!;) are yuh goin tmrw?!,0
60, Im doing good thankyuh!!!Heyyy hbu?!,0
61, Heyy ghurrr!!! Wuzz upp!! haha nuttin much just busyy!! hbu ma?,0
62, Heyy :D,0
63, Umm.. i think 2 bhut english is my first! im learnin french! ;d hbu?!,0
64, Hmmm...personal? root word.. lol umm probss... bubbly  nice  honest(sumtyms),0
65, Myself Bubbly Funny?,0
66, iLoveYou! Thanks alot! Bhut its alot 2 keep up wit! Wanna trade haha!,0
67, NO no no! I Love youuu moreee<333 ;D haha!!,0
68, iFUCKINLoveyou!!!<33 xox ha!,0
69, OMG! really?! cool thats so awesome! yeah i wanna learn more languages bhut french is already enuff 2 deal wit! ha,0
70, Oh thats wht i think too! dnt be sorry hahaha! Silly goose,0
71, Hahah!! ohhkayy?!?! lol Wht do you call a deer with no eyes? I have no ideer! haha Classic  umm i suck at this haha,0
72, IDKKK!!!GOD?! Not understndin this ? srry its like 3am hah,0
73, Oh snap!! I would actually hug him first off ahah and say Nigga where my weed go? Hahaha jkjkjk i love him!! He is doin a great job!,0
74, Are you a lonely boy?,0
75, Basketball<3,0
76, JUSTIN BIEBER's Bday parrtayy! haha,0
77, Keeping up with the Kardashians! or Kendra! My FAV shows atm!:D,0
78, Errmm...Harry potter? lol,0
79, Thats a hard 1 . . . *thinkin* Maybe Bustin Jieber? I think! haha,0
80, Justin Bieber or Channing Tatum! haha yumm!,0
81, Michael Jacko and Subway! Doh!,0
82, Put my towels back on the fckn rack! lol im 2 lazy 2 do it bhut it looks trashy when i keep it on tha floor.,0
83, Life is never going to be easy.,0
84, Justin Bieber.Duh. ;; Russia! ;],0
85, I would so travel thee world  Visit my overseas besties then shop everywhere!<3,0
86, Strawberry-Banana Smoothies from Jack in the Box ;D Yah dig?,0
87, ALL thee twilight books chuz she got some good mula baby!,0
88, My Orthodontist docotr hahahaha!!! Jkjk or am i lmao!,0
89, To never sin bhut will NEVER happen! See im already sinning  Never say never!,0
90, Up-Justin Bieber,0
91, MMMag i love it!,0
92, HOE-ISHNESS! lol um prob. stupid bitches and SIN! i just sinned!Opppzz,0
93, MySelf!(:,0
94, Umm... we would go to jack-in-the-box! haha,0
95, Chocolate;,0
96, Read between these three fingas! haha,0
97, Justin Bieber Demi lovato and Barack Obama babay!!:D,0
98, Apple store!(; Need a MAC pro!,0
99, Great question! Tithe Help people Shop!,0
100, Laptop Dogs Family Shoes bed clothes coffee maker oven washer;dryer refridgerator table;chairs pics camera bath tub! HAHAhAHAHAHHAHA!!!!,0
101, Awhh i love ur earrings!,0
102, ilovee maryyy rosseeee hickkksss!!!! LOL!,0
103, ily2 boo!,0
104, Awhh! Yuh so lucky ghurr!!!I bet yuh had a BLAST! ; nahh ive never been bhut i would soo want to go!;D,0
105, YESSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS!!!!4 theee lasttt timeee!!! Ask him http://www.formspring.me/TRUACE,0
106, HAHAHAHA TEACHIN HIM how to ur his stickshift Mwhahahahahaha! i llalala love you best frann!,0
107, Uhhh!!! lmao!! U got me lmao! jkjk we can go on 4 like eva! Lezzzdoooittt I Love you more than yo own momma! AHHA!!,0
108, Love you More babe<3,0
109, YOOOOOOOOOOOOOO!!!!!!!! Its Late; haha i have church tmrw bhut soon kay? srry:[,0
110, Miley's a HOOCHIE! BIEBER ALL THEE WAY GHURL!!or boy!<33,0
111, Chrisssy!!??? hahahahah Chantelle  Alesha Kailee? Tori?? LMFAO iddkkkkk,0
112, OMFG!!! nooo wayyyy!!! Ughhh BROOOKKKEEEEE OMFG!!! im soo srry lmao lots of pplz r frmh ZEW ZEALAND! lmao I fukkinnn luvv yuhhhh hahaha!,0
113, Hahah Helllz yess! I will mamas!!<3 love u!,0
114, OMG!! ahhhh!! Where he go? Damn it he just fell off my window sil! haha jk!,0
