,q_a,label
0,  Iraq is not good  ===  ===  USA is bad   ,1
1,"i have a dick, its bigger than yours! hahaha",1
2,  == renault ==  you sad little bpy for driving a renault clio which has no vaa voom so there and the mcflurry is made of shit,1
3,  == renault ==  you sad little bo for driving a renault clio which has no vaa voom so there and the mcflurry is made of shit,1
4,"Yes, complain to your rabbi and then go shoot some more defenseless Arabs to take out your frustration.    ",1
5,"  i am using the sandbox, ass wipe",1
6,"  == GOD DAMN ==  GOD DAMN it fuckers, i am using the GOD DAMN sand box",1
7,"  == I HAVE A HARD ON FOR WAR ==  SUP, NIGGS?????????????????????111111111111111111111111",1
8,"  == whoa ==  you are a bi fat idiot, stop spamming my user space.",1
9,"  == whoa ==  you are a big fat idot, stop spamming my userspace",1
10,"  ::: Hey Bobby, get a clue, I dont deal with tards or liars.  ",1
11,Hey  Kerry is a loser and so is Gore.-   ,1
12,"  LOL; charles, you are a real fag aren't you? siding with chinks??  go fuck yourself, asswipe! we don't need no chinks in here.   FAG",1
13,"  WOW MIRV IS TEH protect THIS PAEG!!!  LOL, CHARLES/MIRV SEEMS TO BE A REAL FAG.   FUCKING ASSWIPE",1
14, I also found that this guy names Sever is like DA SUPA CHILLA of dem all...little gonden snub nosed maunkey!,1
15,"  Yeah, what the fuck is this? Get your lazy commie ass back here! As you capitalist overlord, I demand it of you!.   Seriously though, come back soon.  ",1
16,"  FUCK YOU ALKIVA wikipedia is a democracy, a work of contributors, IT IS NOT ABOUT ELITISM, YOU DON'T OWN PAGES HERE.",1
17,   ==Can I Eye== FUCK YOU YOU NEGRO SEE GROW  ,1
18,   ==Thank You your the Wellcome== ARABIC ASSHOLR GO BACK TO ARABIA YOU FUCKING ARABIC SAUDI!!  ,1
19,   What the fuck is your problem?,1
20,  Shut the hell up JeremyA stop posting nonsense.,1
21,", obviously Lan3y knows more about the band than mark and tom, an  example of Stupidity.",1
22,   ==Blink 182==  You ahve 3 Blink 182 CD's???? WOW I have 24 motherfucker.  So I do know what I am talking about.,1
23, KISS MY HAIRY BOTTAY    SCREW YOU ALL IF YOU LIKE DICTATORS DIE DIE DIE  ,1
24,"  Heh, look, not EVERYTHING is on google. you are a dumbass.  ",1
25," I agree, this guy is a piece of shit!",1
26,  == liar ==  This guy is such a thief and a liar! He should be quartered!,1
27,"  == Hate ==  This guy is such a liar, i hate him. He is evil!",1
28," Your just a stupid red neck and you make no sense, to us much smarter yankees!",1
29,"  ::Yuber, you're the POV pusher, and stalking my contrib page to revert me is getting really old. Knock it off.",1
30,"  ==YOU POV PUSHING REVERT MONKEY== Stop reverting things when you could make edits, you stupid POV-pushing revert monkey.",1
31, I Love to eat rectal yoghurt,1
32,"SEE YOU IN PERSON, I'M GOING TO FUCK YOU UP BIG TIME.",1
33,surBold textItalic textLink title == Nick Is The Biggest gimp ever == rounding,1
34,"  Not after, smartass. In case you forgot, I was here way before the hardrock-idiot started his stupid webbased forum.  ",1
35," (UTC)  == Changlc and Jiang, always together?? == Why are you two communist clowns so annoying??? 05:12, 20 May 2005",1
36,"You can add things to my user page, and I am not allowed to delete it.  But if I add something to yours, poof, its gone.  You're the problem, dickweed.  ",1
37,  == your mums ugly ==  your gay,1
38,"  == Batteries ==  How many D batteries can you put in your mouth, I know you know how many you can fit in you butt",1
39,  DAMN ur an ugly fukka,1
40,I think it is rather obvious what to do sir. You really ought to stop taking it up the arse. And stop fucking children too you paedophile   ,1
41,"`   hahah candied asses.  but seriously, you should use the medical term for ``vagina,`` which is ``fat cunt```",1
42,"  == Banned ==  You are banned for life you tube steak loving, meat whistle playing lib!   ",1
43,"  == Chanting Fox ==  Shut up you dumb cunt. Your a nigger  loving, cum cuzzling crack whore bitch!",1
44,"  == Chanting Cox ==  Shut up you dumb cunt. Your a nigger  loving, cum cuzzling crack whore bitch!",1
45,"  ==Yo mama==  I fink dat u guys shld stop the sillyn3ss, k?",1
46," == See how YOU like it, VANDAL==",1
47," I wasn't talking to you jerkso, your sucj an idiot you cant even realize when someone is talking to you. No go back to your trailer boy!",1
48,"  hahaha, nice try.  but they don't agree with your ethnocentric bullshit.  try that on for size!   ",1
49,"  You blanked articles to warez groups, dumb ass.  ",1
50,"  Your mama is clearly being used as advertisment, you cock sucker.  ",1
51, Your mama advertises her fat ass.  ,1
52,  ==Suck COck!!!== you do!!!! you do!!!! ,1
53,"   In addition, I see no sock puppet, jackass. ",1
54,"  == You're a cocksucker, Rick! ==  You're a cocksucker, Rick!",1
